Node,Closeness_Centrality
0,0.3204717897083678
4,0.30342855197303464
32,0.3032943098284781
1,0.3027071091335213
2,0.3014069264069264
258,0.3003403767734978
4096,0.29996634129922584
2048,0.29980488461279686
128,0.29971414158399196
272,0.29908047519967784
256,0.298859825620389
1032,0.2986495090647096
64,0.2978609625668449
8192,0.29711618603100515
512,0.296947887511662
4352,0.29669085824622143
16,0.29663160697643454
8,0.2959715718508186
257,0.2942419440042261
768,0.29373764007910347
2049,0.2936311818391486
12,0.2930036822724882
260,0.2920626597627319
240,0.29151810539400086
8196,0.29112766235463217
1024,0.29088060578366737
288,0.2907951838679153
264,0.2903404463267633
514,0.2900192001041362
2560,0.2894916355367874
2304,0.288432908278853
20,0.2881158670632355
640,0.2880972392836361
72,0.2879203954382451
2816,0.2877251888680829
130,0.2876508940675231
160,0.28658713059137536
132,0.2863753213367609
2336,0.2857509298448121
48,0.2853483606557377
1025,0.28532095405794783
520,0.2850471773548697
40,0.28479212603457643
1280,0.284537530730181
24,0.28429245884904936
4608,0.2842652546968199
2288,0.28412025376988553
320,0.28367710720651895
385,0.28358683892318465
1088,0.28357781525439907
530,0.28337943972781326
129,0.2832983660754021
1344,0.2831093745036373
592,0.2829026728461685
544,0.28289369266419073
2056,0.28287573401047456
392,0.28281289667428283
3072,0.28268730571591705
4098,0.28250808343371586
36,0.2818647605794168
4097,0.28178455117462925
8200,0.2812332355075894
1028,0.28113564668769714
4112,0.2807459677419355
144,0.28069291338582675
3344,0.28048089633033296
290,0.280269199320712
3,0.28023394755046854
3073,0.2800226230126312
96,0.2800050270202338
136,0.279969841668761
8448,0.2796447958831466
1040,0.2796009286565853
17,0.27949570344351754
68,0.27938179880247027
8208,0.2793730407523511
2068,0.2793117497727771
4624,0.27929424300354133
4224,0.27918924845712856
3088,0.279136780781157
8704,0.2791192959378621
2177,0.2791192959378621
2052,0.2791018132848956
6160,0.2790668545483012
2050,0.2790668545483012
1152,0.279005697827312
624,0.27865674441873556
656,0.2785957672950077
273,0.278560935204576
608,0.278560935204576
4160,0.27806552262090484
776,0.2780308229862108
576,0.27800480394297655
2080,0.27795278046346256
2562,0.2778661179184984
2306,0.2778314680300527
1296,0.27780548628428925
2064,0.277666999002991
528,0.2775113657594818
2088,0.2775113657594818
548,0.2774422514164747
145,0.27743361454409615
168,0.27731275476864675
4360,0.27728686994399504
1156,0.27717475818741644
1064,0.27707135084719414
262,0.27702828722412187
2576,0.27701106552281485
9,0.2769680206358579
2352,0.2768733689573754
2564,0.2768217680313102
384,0.27652972570435647
772,0.27641822524115256
69,0.2764096520066993
8198,0.27637536438628046
336,0.2762982483335917
4120,0.2761013693537394
1056,0.27605005575517283
8226,0.2759218551657946
6400,0.27591331269349845
4113,0.2758279170535438
8256,0.2756402325869108
1537,0.2754868624420402
4128,0.2754698318496538
4864,0.27539322023423257
148,0.27537620121743966
80,0.275350676635976
2312,0.27534216949362006
2368,0.2752571269728511
1792,0.2752486256099821
2066,0.27520612667140165
4354,0.27513815566052297
133,0.2751211681536134
4144,0.2750871994320462
4353,0.2750871994320462
516,0.27504475032405407
1058,0.2748750848189501
18,0.27478185798415194
9216,0.27462944131151584
312,0.2745617548291691
8272,0.2745617548291691
4672,0.2744602876412799
4176,0.2743757889227548
6208,0.27419007476232965
5136,0.27411417322834647
513,0.2740635955470816
1360,0.2740130365268725
8258,0.2739709182575548
386,0.2737016676392003
4612,0.27361763531976296
581,0.27355884339124564
2320,0.27355044660670985
6144,0.27353365458395995
192,0.27341616812394537
2337,0.27341616812394537
50,0.2733490783056774
560,0.273340694393326
10,0.27329040171726465
8201,0.2732820214038208
8452,0.2732652623187073
2416,0.2732149973941568
4104,0.27312289304321175
3076,0.2731145229996016
33,0.27301412247648804
532,0.2729555895865237
1073,0.272888725580256
8706,0.272771792360431
252,0.27272170879490787
561,0.27262159681859893
2804,0.2725965803077111
3360,0.27258824249097696
5,0.2724965601589971
4480,0.2722884204094103
2290,0.2722801014328924
2432,0.272238514173998
2112,0.27221356791594126
4100,0.27204737629353765
353,0.2720141623172481
26,0.27200586009034305
2293,0.2719643565565016
1036,0.2719145690312738
6,0.2718813874736874
266,0.27176531576860913
2640,0.27172388560278066
5124,0.27162450472416944
418,0.2715996708621583
66,0.271550016758585
1536,0.27154174283973187
194,0.2715169241080949
4865,0.2715169241080949
4161,0.27145903137374355
322,0.2714176945332724
8324,0.2712772433946183
4456,0.27125247298736876
