Node,Degree
2200,18
54,18
57,18
2192,18
2057,18
2055,18
2072,18
2113,18
2120,17
2124,17
8257,17
4865,17
269,17
298,17
2848,17
67,17
904,17
1345,17
1393,17
252,17
4674,17
5128,17
5125,17
610,17
593,17
313,17
8240,17
8241,17
1576,17
4628,17
1473,17
261,17
2946,17
5250,17
4357,17
4361,17
4358,17
5248,17
1796,17
5312,17
1776,17
9232,17
6280,17
1104,17
1074,17
4392,17
4372,17
562,17
7184,17
8576,17
704,17
2512,17
5186,17
344,17
2656,17
2625,17
353,17
1232,17
4420,17
1268,17
3108,17
4592,17
4609,17
579,17
9600,17
5392,17
756,17
106,17
98,17
8720,17
2309,17
2186,17
771,17
5636,17
2144,17
4129,17
808,17
14,17
4122,17
3856,17
8832,17
1066,17
134,17
3393,17
5504,17
6216,17
522,17
4164,17
4296,17
4264,17
4337,17
156,17
1520,16
8296,16
2992,16
4738,16
2944,16
2804,16
2805,16
3078,16
3080,16
657,16
8453,16
4884,16
2866,16
293,16
4634,16
8339,16
4752,16
1409,16
643,16
310,16
1560,16
58,16
86,16
2181,16
2201,16
2059,16
2053,16
2092,16
3590,16
8960,16
3588,16
1546,16
4481,16
672,16
3105,16
232,16
326,16
6660,16
1922,16
6274,16
2436,16
9234,16
2434,16
5185,16
4388,16
5264,16
1164,16
708,16
8577,16
197,16
2488,16
387,16
2565,16
201,16
1265,16
3089,16
211,16
9744,16
4620,16
4513,16
4417,16
356,16
2642,16
5192,16
2689,16
5176,16
568,16
587,16
161,16
6192,16
6180,16
6164,16
2356,16
2378,16
2355,16
8714,16
434,16
4260,16
4244,16
554,16
3314,16
162,16
9217,16
1049,16
4289,16
2307,16
774,16
8768,16
4134,16
2433,16
4137,16
777,16
6162,16
786,16
8864,16
8834,16
960,16
515,16
913,16
9088,16
35,16
21,15
3840,15
586,15
3844,15
46,15
3696,15
4424,15
588,15
852,15
4432,15
1592,15
1680,15
4448,15
1665,15
8968,15
1666,15
598,15
1632,15
616,15
196,15
612,15
3137,15
2598,15
2594,15
7424,15
4492,15
3201,15
195,15
141,15
2692,15
3384,15
395,15
8325,15
4632,15
3082,15
8326,15
6657,15
3074,15
8356,15
3056,15
3096,15
8288,15
8276,15
3112,15
1794,15
2581,15
323,15
2672,15
1812,15
7172,15
5377,15
533,15
4720,15
3348,15
342,15
1416,15
78,15
4696,15
149,15
3329,15
3349,15
6402,15
5364,15
1170,15
1169,15
2357,15
358,15
2768,15
2332,15
812,15
9984,15
9348,15
4405,15
4418,15
8710,15
1042,15
2297,15
2826,15
9226,15
1048,15
2369,15
1093,15
4225,15
2424,15
2384,15
760,15
706,15
2118,15
8716,15
8744,15
