Node,Betweenness_Centrality
0,0.030170815964991073
4096,0.020082431244275556
4,0.019968782666808776
512,0.015882240612437894
64,0.015207027052969191
256,0.014931256569731282
128,0.014140668989604727
2,0.01383288676739227
258,0.013809794326477423
16,0.013577731395456396
1,0.01343026238943107
32,0.01320321649351467
2048,0.012761263956655949
4352,0.01159055073138718
8,0.011388562295406041
8192,0.010388683720898757
768,0.010275686896339488
20,0.01021960312401732
1280,0.009808488625096595
257,0.009701751399832523
260,0.009697662305922642
132,0.009365620549214007
264,0.009230758272041159
2049,0.008865063422700029
1024,0.008721294516753901
48,0.008684928471373074
1032,0.008253065403836298
12,0.007879331925160023
4224,0.007691322557943572
514,0.007645220824832763
8196,0.007538920404910551
2336,0.0072904395376914115
4360,0.007108533492800731
240,0.007055769267799315
160,0.007003049963169926
520,0.006919595811065668
4104,0.006850438362363968
4097,0.006733999414558359
2816,0.0067335047910663534
40,0.006650806097234021
130,0.00655505747053341
288,0.00649069981478311
18,0.006425096740806688
24,0.0063716214741853456
4112,0.006352853359523951
272,0.006349437399399245
2305,0.0063141435607806445
1344,0.0062442817616679015
8208,0.006229120794139307
1088,0.006216768536503204
320,0.006183162631003669
96,0.006115227305336354
544,0.006094336461886087
592,0.0060474734713915615
2320,0.006008072370059187
3072,0.005989390399065398
528,0.005982178459799678
3344,0.0058607121263773146
3,0.0056950604279362655
2080,0.005691862912259234
8704,0.0055418226290731305
1296,0.0055094799977978065
2304,0.00548150720052942
5888,0.005395453111284064
8193,0.0053350375107363
1040,0.005320911492922499
36,0.005311296827792616
1028,0.005254411492795744
388,0.005224573847603519
1044,0.005073627621678629
4098,0.00500227419089372
2564,0.004953984458729314
640,0.004946929202763041
129,0.0048964569135547704
2560,0.004852066046074982
776,0.004846766481137709
8448,0.004839063944340412
4128,0.004832677843206472
656,0.004829693500164326
68,0.004825628220652112
2352,0.0047903944518326805
266,0.004783886023597345
6400,0.0047682606596714215
4608,0.004749403047845846
72,0.004691691383053607
3360,0.004642678959041023
336,0.004636164073070761
4161,0.004556757553436241
368,0.004554899059947781
624,0.004521240469280627
576,0.004469437044096233
2066,0.004453694252852536
2288,0.004412667169790809
784,0.004391855806021155
2050,0.004376099977408499
17,0.004372658468354674
2566,0.004357014696660064
144,0.004346314355730132
245,0.0043157577237607075
1530,0.004315376580996315
33,0.004280092056754315
1152,0.004259755116969382
560,0.004234633044793943
8256,0.004204185643824895
1282,0.004178407473796723
2562,0.004120693318313099
3082,0.004074554263779142
8201,0.004072616268183217
496,0.00406645602890396
3088,0.004050297742199031
1025,0.004044027190081967
1064,0.004041669362278545
4612,0.0040377509303788015
2296,0.004021515909589455
4114,0.004017011278653746
4368,0.00400182055845104
2074,0.003939549231984669
4848,0.003921603107675464
3328,0.003919160845102423
5136,0.0038569521668342195
5,0.0038563594056574375
2052,0.00385041675724866
392,0.003839077671731479
2576,0.003815468180173156
4624,0.0037788553505908105
2112,0.0037672616827547716
136,0.0037595390054697185
4100,0.0037472956100530566
290,0.003737634597284931
4144,0.003723694640718498
1796,0.003717797492741143
4354,0.003713719589558257
1029,0.0037126035025057008
41,0.003690635888015579
1156,0.0036796109034494253
28,0.0036709851823852266
8200,0.0036695086296462958
148,0.003637641353292094
9216,0.003598482286526576
2293,0.003586277589574335
80,0.003583648612173169
4113,0.003579560649560124
1058,0.0035788481645315034
262,0.003578365387379428
4384,0.0035694634819065166
2056,0.0035628113670090685
516,0.00354287336791688
386,0.003538895704301664
3073,0.003536602378201874
1800,0.0034948333269150486
65,0.003451611599492492
513,0.0034478946389784482
244,0.003444697926457648
2072,0.0034322153604762476
2312,0.003396329448426828
532,0.003395772022002338
273,0.0033930680156964536
137,0.003391417985075676
99,0.003366006022087996
5768,0.003348500130372285
194,0.003348158170088151
8212,0.003336318547920753
2068,0.0033256668492687423
896,0.003324291912074023
8224,0.0032930906488462084
4160,0.00329063910935208
385,0.0032721760553667298
145,0.00324775899015695
2064,0.003207868540699466
70,0.0032030895511999894
9,0.003175405207975777
5124,0.0031706375144714615
2088,0.003157022335350239
880,0.0031525516170224114
